epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.402142,0.392581,0.392581,0.001,2.24,True,0,META,100
2,0.398132,0.383144,0.383144,0.001,2.26,True,0,META,100
3,0.397734,0.383836,0.383144,0.001,2.3,False,1,META,100
4,0.396724,0.384227,0.383144,0.001,2.24,False,2,META,100
5,0.397204,0.384724,0.383144,0.001,2.23,False,3,META,100
6,0.396844,0.384978,0.383144,0.001,2.27,False,4,META,100
7,0.397494,0.385294,0.383144,0.001,2.27,False,5,META,100
8,0.397188,0.381677,0.381677,0.001,2.23,True,0,META,100
9,0.396513,0.381861,0.381677,0.001,2.25,False,1,META,100
10,0.397009,0.381835,0.381677,0.001,2.28,False,2,META,100
11,0.396672,0.38168,0.381677,0.001,2.41,False,3,META,100
12,0.397153,0.38132,0.38132,0.001,2.22,True,0,META,100
13,0.396401,0.381458,0.38132,0.001,2.33,False,1,META,100
14,0.396443,0.381458,0.38132,0.001,2.32,False,2,META,100
15,0.396631,0.381568,0.38132,0.001,2.3,False,3,META,100
16,0.396678,0.381403,0.38132,0.001,2.19,False,4,META,100
17,0.396727,0.381609,0.38132,0.001,2.29,False,5,META,100
18,0.396318,0.381121,0.381121,0.001,2.22,True,0,META,100
19,0.395709,0.381216,0.381121,0.001,2.39,False,1,META,100
20,0.396389,0.381427,0.381121,0.001,2.21,False,2,META,100
21,0.396834,0.381444,0.381121,0.001,2.25,False,3,META,100
22,0.396078,0.381479,0.381121,0.001,2.26,False,4,META,100
23,0.3967,0.381418,0.381121,0.001,2.25,False,5,META,100
24,0.397026,0.381373,0.381121,0.001,2.29,False,6,META,100
25,0.396259,0.381547,0.381121,0.0005,2.29,False,7,META,100
