epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.418401,0.275432,0.275432,0.001,6.82,True,0,MSFT,42
2,0.407489,0.285083,0.275432,0.001,6.84,False,1,MSFT,42
3,0.402992,0.283383,0.275432,0.001,7.23,False,2,MSFT,42
4,0.404073,0.272538,0.272538,0.001,6.86,True,0,MSFT,42
5,0.399681,0.276474,0.272538,0.001,7.1,False,1,MSFT,42
6,0.399133,0.279345,0.272538,0.001,6.86,False,2,MSFT,42
7,0.399303,0.278211,0.272538,0.001,6.84,False,3,MSFT,42
8,0.397777,0.275885,0.272538,0.001,7.12,False,4,MSFT,42
9,0.398607,0.272459,0.272459,0.001,6.8,True,0,MSFT,42
10,0.398651,0.271381,0.271381,0.001,6.91,True,0,MSFT,42
11,0.397221,0.271827,0.271381,0.001,7.28,False,1,MSFT,42
12,0.397741,0.271854,0.271381,0.001,7.18,False,2,MSFT,42
13,0.397578,0.275358,0.271381,0.001,6.82,False,3,MSFT,42
14,0.396779,0.271288,0.271288,0.001,6.83,True,0,MSFT,42
15,0.397306,0.274028,0.271288,0.001,6.86,False,1,MSFT,42
16,0.396627,0.272562,0.271288,0.001,6.82,False,2,MSFT,42
17,0.397371,0.276811,0.271288,0.001,7.29,False,3,MSFT,42
18,0.396239,0.27509,0.271288,0.001,6.85,False,4,MSFT,42
19,0.396611,0.273322,0.271288,0.001,6.9,False,5,MSFT,42
20,0.396744,0.272699,0.271288,0.001,7.2,False,6,MSFT,42
21,0.396671,0.27238,0.271288,0.0005,6.99,False,7,MSFT,42
