epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.010013,0.012724,0.012724,0.001,1.19,True,0,MSFT,42
2,0.002516,0.008978,0.008978,0.001,1.21,True,0,MSFT,42
3,0.001934,0.00904,0.008978,0.001,1.36,False,1,MSFT,42
4,0.001703,0.006735,0.006735,0.001,1.17,True,0,MSFT,42
5,0.001645,0.00456,0.00456,0.001,1.16,True,0,MSFT,42
6,0.001413,0.007538,0.00456,0.001,1.23,False,1,MSFT,42
7,0.00135,0.01277,0.00456,0.001,1.19,False,2,MSFT,42
8,0.001306,0.010639,0.00456,0.001,1.18,False,3,MSFT,42
9,0.001147,0.00365,0.00365,0.001,1.25,True,0,MSFT,42
10,0.001127,0.002143,0.002143,0.001,1.32,True,0,MSFT,42
11,0.001074,0.005167,0.002143,0.001,1.28,False,1,MSFT,42
12,0.000909,0.005426,0.002143,0.001,1.51,False,2,MSFT,42
13,0.001003,0.006901,0.002143,0.001,1.17,False,3,MSFT,42
14,0.001076,0.00374,0.002143,0.001,1.19,False,4,MSFT,42
15,0.001026,0.002275,0.002143,0.001,1.2,False,5,MSFT,42
16,0.000789,0.004797,0.002143,0.001,1.2,False,6,MSFT,42
17,0.000757,0.006201,0.002143,0.0005,1.16,False,7,MSFT,42
18,0.000749,0.006409,0.002143,0.0005,1.23,False,8,MSFT,42
19,0.000741,0.004445,0.002143,0.0005,1.19,False,9,MSFT,42
20,0.000815,0.007693,0.002143,0.0005,1.17,False,10,MSFT,42
21,0.0008,0.005467,0.002143,0.0005,1.28,False,11,MSFT,42
22,0.000778,0.003024,0.002143,0.0005,1.21,False,12,MSFT,42
23,0.000736,0.005312,0.002143,0.00025,1.19,False,13,MSFT,42
24,0.000717,0.003701,0.002143,0.00025,1.43,False,14,MSFT,42
25,0.000622,0.005156,0.002143,0.00025,1.26,False,15,MSFT,42
