epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.030795,0.015777,0.015777,0.001,2.48,True,0,MSFT,42
2,0.002841,0.009025,0.009025,0.001,2.22,True,0,MSFT,42
3,0.002344,0.010673,0.009025,0.001,2.32,False,1,MSFT,42
4,0.001863,0.01496,0.009025,0.001,2.24,False,2,MSFT,42
5,0.001817,0.007795,0.007795,0.001,2.34,True,0,MSFT,42
6,0.00161,0.009747,0.007795,0.001,2.26,False,1,MSFT,42
7,0.001422,0.009791,0.007795,0.001,2.35,False,2,MSFT,42
8,0.001391,0.011886,0.007795,0.001,2.22,False,3,MSFT,42
9,0.001215,0.00363,0.00363,0.001,2.44,True,0,MSFT,42
10,0.001278,0.009582,0.00363,0.001,2.25,False,1,MSFT,42
11,0.001103,0.010551,0.00363,0.001,2.53,False,2,MSFT,42
12,0.001124,0.001326,0.001326,0.001,2.63,True,0,MSFT,42
13,0.001133,0.002778,0.001326,0.001,2.32,False,1,MSFT,42
14,0.001012,0.002959,0.001326,0.001,2.36,False,2,MSFT,42
15,0.000961,0.004544,0.001326,0.001,2.26,False,3,MSFT,42
16,0.001021,0.004199,0.001326,0.001,2.45,False,4,MSFT,42
17,0.001085,0.011197,0.001326,0.001,2.15,False,5,MSFT,42
18,0.001025,0.008744,0.001326,0.001,2.33,False,6,MSFT,42
19,0.000977,0.00472,0.001326,0.0005,2.23,False,7,MSFT,42
20,0.000968,0.00665,0.001326,0.0005,2.29,False,8,MSFT,42
21,0.000894,0.007202,0.001326,0.0005,2.36,False,9,MSFT,42
22,0.000903,0.003863,0.001326,0.0005,2.24,False,10,MSFT,42
23,0.000878,0.005687,0.001326,0.0005,2.71,False,11,MSFT,42
24,0.000842,0.004566,0.001326,0.0005,2.27,False,12,MSFT,42
25,0.000885,0.004962,0.001326,0.00025,2.34,False,13,MSFT,42
26,0.000836,0.005238,0.001326,0.00025,2.19,False,14,MSFT,42
27,0.000825,0.004835,0.001326,0.00025,2.35,False,15,MSFT,42
