epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.004476,0.112535,0.112535,0.001,0.89,True,0,MSFT,100
2,0.001678,0.061938,0.061938,0.001,0.92,True,0,MSFT,100
3,0.001939,0.025018,0.025018,0.001,1.09,True,0,MSFT,100
4,0.000853,0.032846,0.025018,0.001,1.32,False,1,MSFT,100
5,0.00096,0.021303,0.021303,0.001,1.3,True,0,MSFT,100
6,0.001299,0.041165,0.021303,0.001,1.26,False,1,MSFT,100
7,0.001068,0.044486,0.021303,0.001,1.33,False,2,MSFT,100
8,0.001027,0.028555,0.021303,0.001,1.42,False,3,MSFT,100
9,0.000726,0.020615,0.020615,0.001,1.23,True,0,MSFT,100
10,0.000825,0.011726,0.011726,0.001,1.27,True,0,MSFT,100
11,0.000842,0.018881,0.011726,0.001,1.3,False,1,MSFT,100
12,0.000829,0.054963,0.011726,0.001,1.39,False,2,MSFT,100
13,0.000588,0.018965,0.011726,0.001,1.26,False,3,MSFT,100
14,0.000622,0.037726,0.011726,0.001,1.35,False,4,MSFT,100
15,0.000611,0.024965,0.011726,0.001,1.24,False,5,MSFT,100
16,0.000564,0.043315,0.011726,0.001,1.3,False,6,MSFT,100
17,0.000373,0.037369,0.011726,0.0005,1.26,False,7,MSFT,100
18,0.000411,0.033979,0.011726,0.0005,1.38,False,8,MSFT,100
19,0.000524,0.03992,0.011726,0.0005,1.26,False,9,MSFT,100
20,0.00042,0.026116,0.011726,0.0005,1.36,False,10,MSFT,100
21,0.000364,0.041431,0.011726,0.0005,1.26,False,11,MSFT,100
22,0.000361,0.043413,0.011726,0.0005,1.26,False,12,MSFT,100
23,0.000357,0.03257,0.011726,0.00025,1.39,False,13,MSFT,100
24,0.000339,0.035297,0.011726,0.00025,1.3,False,14,MSFT,100
25,0.000363,0.042101,0.011726,0.00025,1.24,False,15,MSFT,100
