epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.414195,0.501131,0.501131,0.001,11.09,True,0,NKE,100
2,0.403515,0.502935,0.501131,0.001,20.68,False,1,NKE,100
3,0.400237,0.503599,0.501131,0.001,25.8,False,2,NKE,100
4,0.398973,0.499538,0.499538,0.001,11.03,True,0,NKE,100
5,0.399297,0.500488,0.499538,0.001,9.19,False,1,NKE,100
6,0.397704,0.502629,0.499538,0.001,8.94,False,2,NKE,100
7,0.397868,0.502091,0.499538,0.001,9.43,False,3,NKE,100
8,0.39783,0.500084,0.499538,0.001,15.83,False,4,NKE,100
9,0.397423,0.500418,0.499538,0.001,10.34,False,5,NKE,100
10,0.397826,0.499795,0.499538,0.001,7.9,False,6,NKE,100
11,0.396942,0.499838,0.499538,0.0005,7.58,False,7,NKE,100
