epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.431312,0.507375,0.507375,0.001,1.85,True,0,NKE,42
2,0.405834,0.50358,0.50358,0.001,1.81,True,0,NKE,42
3,0.40193,0.504107,0.50358,0.001,1.87,False,1,NKE,42
4,0.40105,0.500072,0.500072,0.001,2.25,True,0,NKE,42
5,0.39908,0.49968,0.49968,0.001,1.8,True,0,NKE,42
6,0.398434,0.499299,0.499299,0.001,1.77,True,0,NKE,42
7,0.398105,0.498894,0.498894,0.001,1.77,True,0,NKE,42
8,0.397191,0.498749,0.498749,0.001,1.97,True,0,NKE,42
9,0.397347,0.498567,0.498567,0.001,1.74,True,0,NKE,42
10,0.396831,0.499791,0.498567,0.001,1.85,False,1,NKE,42
11,0.393837,0.501462,0.498567,0.001,2.08,False,2,NKE,42
12,0.392519,0.506728,0.498567,0.001,2.27,False,3,NKE,42
13,0.389258,0.506933,0.498567,0.001,1.83,False,4,NKE,42
14,0.388794,0.532143,0.498567,0.001,1.88,False,5,NKE,42
15,0.384292,0.576414,0.498567,0.001,1.78,False,6,NKE,42
16,0.383989,0.569503,0.498567,0.0005,1.73,False,7,NKE,42
