epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.400922,0.526995,0.526995,0.001,6.29,True,0,NKE,42
2,0.400531,0.527485,0.526995,0.001,6.41,False,1,NKE,42
3,0.39671,0.527091,0.526995,0.001,6.45,False,2,NKE,42
4,0.396048,0.525212,0.525212,0.001,6.35,True,0,NKE,42
5,0.398079,0.524967,0.524967,0.001,6.52,True,0,NKE,42
6,0.396173,0.524419,0.524419,0.001,6.96,True,0,NKE,42
7,0.398512,0.524808,0.524419,0.001,6.06,False,1,NKE,42
8,0.402533,0.524958,0.524419,0.001,6.14,False,2,NKE,42
9,0.397282,0.524949,0.524419,0.001,6.18,False,3,NKE,42
10,0.395774,0.526003,0.524419,0.001,6.39,False,4,NKE,42
11,0.397301,0.525688,0.524419,0.001,6.81,False,5,NKE,42
12,0.392509,0.527215,0.524419,0.001,7.46,False,6,NKE,42
13,0.392611,0.529797,0.524419,0.0005,6.39,False,7,NKE,42
