epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.400462,0.508178,0.508178,0.001,3.56,True,0,NKE,100
2,0.398661,0.507485,0.507485,0.001,3.5,True,0,NKE,100
3,0.39717,0.499548,0.499548,0.001,3.82,True,0,NKE,100
4,0.397064,0.501022,0.499548,0.001,3.51,False,1,NKE,100
5,0.397481,0.499457,0.499457,0.001,3.64,True,0,NKE,100
6,0.396707,0.50045,0.499457,0.001,3.59,False,1,NKE,100
7,0.396731,0.501347,0.499457,0.001,3.5,False,2,NKE,100
8,0.397244,0.501646,0.499457,0.001,3.34,False,3,NKE,100
9,0.396724,0.500018,0.499457,0.001,3.39,False,4,NKE,100
10,0.397031,0.500396,0.499457,0.001,3.17,False,5,NKE,100
11,0.396818,0.500392,0.499457,0.001,2.77,False,6,NKE,100
12,0.397057,0.500421,0.499457,0.0005,2.46,False,7,NKE,100
