epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.431445,0.514012,0.514012,0.001,8.09,True,0,NVDA,100
2,0.420912,0.520369,0.514012,0.001,7.82,False,1,NVDA,100
3,0.419273,0.512437,0.512437,0.001,7.63,True,0,NVDA,100
4,0.416736,0.517813,0.512437,0.001,7.56,False,1,NVDA,100
5,0.415747,0.520811,0.512437,0.001,7.35,False,2,NVDA,100
6,0.41754,0.513529,0.512437,0.001,7.72,False,3,NVDA,100
7,0.415098,0.513185,0.512437,0.001,7.76,False,4,NVDA,100
8,0.414938,0.523005,0.512437,0.001,7.7,False,5,NVDA,100
9,0.415548,0.51575,0.512437,0.001,7.53,False,6,NVDA,100
10,0.414993,0.516052,0.512437,0.0005,7.52,False,7,NVDA,100
