epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.445716,0.532787,0.532787,0.001,1.7,True,0,NVDA,42
2,0.423769,0.531861,0.531861,0.001,1.63,True,0,NVDA,42
3,0.420073,0.529209,0.529209,0.001,1.55,True,0,NVDA,42
4,0.418099,0.526987,0.526987,0.001,1.65,True,0,NVDA,42
5,0.416401,0.525261,0.525261,0.001,1.54,True,0,NVDA,42
6,0.414354,0.526659,0.525261,0.001,1.67,False,1,NVDA,42
7,0.413651,0.522054,0.522054,0.001,1.64,True,0,NVDA,42
8,0.410819,0.526038,0.522054,0.001,1.55,False,1,NVDA,42
9,0.411071,0.522436,0.522054,0.001,1.61,False,2,NVDA,42
10,0.409384,0.523773,0.522054,0.001,1.66,False,3,NVDA,42
11,0.405482,0.526371,0.522054,0.001,1.69,False,4,NVDA,42
12,0.4023,0.518413,0.518413,0.001,1.7,True,0,NVDA,42
13,0.399684,0.525024,0.518413,0.001,1.64,False,1,NVDA,42
14,0.397447,0.524181,0.518413,0.001,1.8,False,2,NVDA,42
15,0.395811,0.517868,0.517868,0.001,1.59,True,0,NVDA,42
16,0.395598,0.522451,0.517868,0.001,1.72,False,1,NVDA,42
17,0.390067,0.520112,0.517868,0.001,1.56,False,2,NVDA,42
18,0.386149,0.518107,0.517868,0.001,1.77,False,3,NVDA,42
19,0.382857,0.517993,0.517868,0.001,1.56,False,4,NVDA,42
20,0.379765,0.513594,0.513594,0.001,1.91,True,0,NVDA,42
21,0.377683,0.521547,0.513594,0.001,1.73,False,1,NVDA,42
22,0.376202,0.525394,0.513594,0.001,1.64,False,2,NVDA,42
23,0.371364,0.525238,0.513594,0.001,1.9,False,3,NVDA,42
24,0.364011,0.524354,0.513594,0.001,1.86,False,4,NVDA,42
25,0.363848,0.529534,0.513594,0.001,1.67,False,5,NVDA,42
26,0.35966,0.530986,0.513594,0.001,1.67,False,6,NVDA,42
27,0.356546,0.536655,0.513594,0.0005,2.02,False,7,NVDA,42
