epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.418344,0.547712,0.547712,0.001,5.19,True,0,NVDA,100
2,0.413386,0.544319,0.544319,0.001,5.25,True,0,NVDA,100
3,0.413997,0.542873,0.542873,0.001,5.38,True,0,NVDA,100
4,0.414475,0.544236,0.542873,0.001,5.17,False,1,NVDA,100
5,0.415331,0.542397,0.542397,0.001,5.14,True,0,NVDA,100
6,0.415561,0.542482,0.542397,0.001,6.02,False,1,NVDA,100
7,0.412859,0.542436,0.542397,0.001,5.92,False,2,NVDA,100
8,0.414185,0.542553,0.542397,0.001,5.53,False,3,NVDA,100
9,0.413338,0.543726,0.542397,0.001,5.91,False,4,NVDA,100
10,0.414584,0.54582,0.542397,0.001,5.75,False,5,NVDA,100
11,0.411575,0.546473,0.542397,0.001,6.33,False,6,NVDA,100
12,0.412855,0.553124,0.542397,0.0005,8.28,False,7,NVDA,100
