epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.4187,0.539083,0.539083,0.001,2.27,True,0,NVDA,42
2,0.415165,0.520399,0.520399,0.001,2.32,True,0,NVDA,42
3,0.414862,0.53429,0.520399,0.001,2.14,False,1,NVDA,42
4,0.414223,0.520052,0.520052,0.001,2.33,True,0,NVDA,42
5,0.413719,0.527863,0.520052,0.001,2.1,False,1,NVDA,42
6,0.413307,0.521675,0.520052,0.001,2.11,False,2,NVDA,42
7,0.413919,0.517396,0.517396,0.001,2.06,True,0,NVDA,42
8,0.413149,0.52488,0.517396,0.001,2.14,False,1,NVDA,42
9,0.413381,0.524595,0.517396,0.001,2.04,False,2,NVDA,42
10,0.412862,0.52192,0.517396,0.001,2.2,False,3,NVDA,42
11,0.413163,0.51736,0.51736,0.001,2.11,True,0,NVDA,42
12,0.413164,0.514027,0.514027,0.001,2.16,True,0,NVDA,42
13,0.413417,0.518118,0.514027,0.001,2.05,False,1,NVDA,42
14,0.412857,0.517484,0.514027,0.001,2.15,False,2,NVDA,42
15,0.413158,0.514936,0.514027,0.001,2.1,False,3,NVDA,42
16,0.413275,0.516677,0.514027,0.001,2.1,False,4,NVDA,42
17,0.413115,0.515091,0.514027,0.001,2.06,False,5,NVDA,42
18,0.41286,0.514205,0.514027,0.001,2.14,False,6,NVDA,42
19,0.413669,0.514316,0.514027,0.0005,2.05,False,7,NVDA,42
