epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.410207,0.705321,0.705321,0.001,8.12,True,0,ORCL,100
2,0.399121,0.695253,0.695253,0.001,8.52,True,0,ORCL,100
3,0.39665,0.693934,0.693934,0.001,8.38,True,0,ORCL,100
4,0.395315,0.696049,0.693934,0.001,8.13,False,1,ORCL,100
5,0.395053,0.696112,0.693934,0.001,8.53,False,2,ORCL,100
6,0.393912,0.691759,0.691759,0.001,8.28,True,0,ORCL,100
7,0.393407,0.691815,0.691759,0.001,7.89,False,1,ORCL,100
8,0.392769,0.694304,0.691759,0.001,8.16,False,2,ORCL,100
9,0.393621,0.696833,0.691759,0.001,8.09,False,3,ORCL,100
10,0.393762,0.692205,0.691759,0.001,8.6,False,4,ORCL,100
11,0.392636,0.691543,0.691543,0.001,8.97,True,0,ORCL,100
12,0.392611,0.692687,0.691543,0.001,9.14,False,1,ORCL,100
13,0.393722,0.694224,0.691543,0.001,9.26,False,2,ORCL,100
14,0.39214,0.693697,0.691543,0.001,9.29,False,3,ORCL,100
15,0.39209,0.691898,0.691543,0.001,8.78,False,4,ORCL,100
16,0.392439,0.695891,0.691543,0.001,8.8,False,5,ORCL,100
17,0.392255,0.692418,0.691543,0.001,8.75,False,6,ORCL,100
18,0.391903,0.691686,0.691543,0.0005,8.94,False,7,ORCL,100
