epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.414695,0.701319,0.701319,0.001,1.96,True,0,ORCL,100
2,0.400914,0.697327,0.697327,0.001,1.9,True,0,ORCL,100
3,0.397331,0.693441,0.693441,0.001,2.44,True,0,ORCL,100
4,0.394346,0.695923,0.693441,0.001,1.67,False,1,ORCL,100
5,0.395032,0.694102,0.693441,0.001,1.85,False,2,ORCL,100
6,0.392696,0.692809,0.692809,0.001,1.88,True,0,ORCL,100
7,0.392511,0.691651,0.691651,0.001,1.7,True,0,ORCL,100
8,0.392599,0.691066,0.691066,0.001,1.8,True,0,ORCL,100
9,0.391186,0.691093,0.691066,0.001,1.7,False,1,ORCL,100
10,0.389254,0.691971,0.691066,0.001,1.74,False,2,ORCL,100
11,0.388757,0.691099,0.691066,0.001,1.73,False,3,ORCL,100
12,0.385119,0.691462,0.691066,0.001,1.83,False,4,ORCL,100
13,0.383669,0.691343,0.691066,0.001,1.73,False,5,ORCL,100
14,0.381508,0.691536,0.691066,0.001,1.63,False,6,ORCL,100
15,0.379498,0.691609,0.691066,0.0005,1.76,False,7,ORCL,100
