epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.395228,0.750773,0.750773,0.001,6.29,True,0,ORCL,42
2,0.395614,0.750499,0.750499,0.001,7.04,True,0,ORCL,42
3,0.391159,0.749959,0.749959,0.001,6.47,True,0,ORCL,42
4,0.39025,0.751407,0.749959,0.001,6.37,False,1,ORCL,42
5,0.39197,0.751329,0.749959,0.001,6.2,False,2,ORCL,42
6,0.389931,0.751599,0.749959,0.001,6.26,False,3,ORCL,42
7,0.391132,0.751122,0.749959,0.001,6.56,False,4,ORCL,42
8,0.39374,0.75094,0.749959,0.001,6.42,False,5,ORCL,42
9,0.392213,0.750848,0.749959,0.001,6.55,False,6,ORCL,42
10,0.390629,0.751016,0.749959,0.0005,6.03,False,7,ORCL,42
