epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.396779,0.707833,0.707833,0.001,2.23,True,0,ORCL,100
2,0.393582,0.713151,0.707833,0.001,2.27,False,1,ORCL,100
3,0.392429,0.712703,0.707833,0.001,2.17,False,2,ORCL,100
4,0.392636,0.702332,0.702332,0.001,2.2,True,0,ORCL,100
5,0.392566,0.70062,0.70062,0.001,2.15,True,0,ORCL,100
6,0.391557,0.695683,0.695683,0.001,2.29,True,0,ORCL,100
7,0.392065,0.697732,0.695683,0.001,2.22,False,1,ORCL,100
8,0.392247,0.696943,0.695683,0.001,2.2,False,2,ORCL,100
9,0.391878,0.698722,0.695683,0.001,2.18,False,3,ORCL,100
10,0.391534,0.698451,0.695683,0.001,2.13,False,4,ORCL,100
11,0.391891,0.696908,0.695683,0.001,2.23,False,5,ORCL,100
12,0.39165,0.694449,0.694449,0.001,2.23,True,0,ORCL,100
13,0.391057,0.696253,0.694449,0.001,2.51,False,1,ORCL,100
14,0.391319,0.693906,0.693906,0.001,2.37,True,0,ORCL,100
15,0.391165,0.694346,0.693906,0.001,2.29,False,1,ORCL,100
16,0.391221,0.695235,0.693906,0.001,2.19,False,2,ORCL,100
17,0.391446,0.695255,0.693906,0.001,2.29,False,3,ORCL,100
18,0.391757,0.694058,0.693906,0.001,2.15,False,4,ORCL,100
19,0.391379,0.695711,0.693906,0.001,2.31,False,5,ORCL,100
20,0.391708,0.694736,0.693906,0.001,2.2,False,6,ORCL,100
21,0.39229,0.694465,0.693906,0.0005,2.43,False,7,ORCL,100
