epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.416954,0.446636,0.446636,0.001,7.78,True,0,PEP,42
2,0.402024,0.460549,0.446636,0.001,7.9,False,1,PEP,42
3,0.401483,0.445248,0.445248,0.001,8.17,True,0,PEP,42
4,0.399551,0.443805,0.443805,0.001,7.74,True,0,PEP,42
5,0.399212,0.445573,0.443805,0.001,7.62,False,1,PEP,42
6,0.399023,0.451925,0.443805,0.001,7.87,False,2,PEP,42
7,0.397576,0.442759,0.442759,0.001,7.99,True,0,PEP,42
8,0.397847,0.449523,0.442759,0.001,7.82,False,1,PEP,42
9,0.396219,0.443537,0.442759,0.001,7.74,False,2,PEP,42
10,0.395704,0.443243,0.442759,0.001,7.86,False,3,PEP,42
11,0.39609,0.45052,0.442759,0.001,7.57,False,4,PEP,42
12,0.39591,0.447286,0.442759,0.001,7.72,False,5,PEP,42
13,0.395532,0.447472,0.442759,0.001,7.54,False,6,PEP,42
14,0.394654,0.447822,0.442759,0.0005,7.82,False,7,PEP,42
