epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.413823,0.442251,0.442251,0.001,1.84,True,0,PEP,42
2,0.402107,0.444421,0.442251,0.001,1.63,False,1,PEP,42
3,0.398161,0.44165,0.44165,0.001,1.69,True,0,PEP,42
4,0.397125,0.445216,0.44165,0.001,1.94,False,1,PEP,42
5,0.395607,0.44487,0.44165,0.001,1.79,False,2,PEP,42
6,0.394762,0.443326,0.44165,0.001,1.69,False,3,PEP,42
7,0.393951,0.444304,0.44165,0.001,1.62,False,4,PEP,42
8,0.392401,0.443737,0.44165,0.001,1.67,False,5,PEP,42
9,0.392265,0.440263,0.440263,0.001,1.64,True,0,PEP,42
10,0.388784,0.43999,0.43999,0.001,1.7,True,0,PEP,42
11,0.389141,0.437089,0.437089,0.001,1.67,True,0,PEP,42
12,0.386321,0.438124,0.437089,0.001,1.6,False,1,PEP,42
13,0.382346,0.437736,0.437089,0.001,1.71,False,2,PEP,42
14,0.381131,0.434627,0.434627,0.001,1.6,True,0,PEP,42
15,0.37676,0.435505,0.434627,0.001,1.62,False,1,PEP,42
16,0.373284,0.436649,0.434627,0.001,1.7,False,2,PEP,42
17,0.374018,0.439946,0.434627,0.001,1.62,False,3,PEP,42
18,0.367758,0.446431,0.434627,0.001,1.63,False,4,PEP,42
19,0.365157,0.448841,0.434627,0.001,1.57,False,5,PEP,42
20,0.357876,0.462921,0.434627,0.001,1.53,False,6,PEP,42
21,0.354581,0.450879,0.434627,0.0005,1.58,False,7,PEP,42
