epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.401686,0.446962,0.446962,0.001,2.22,True,0,PEP,100
2,0.399617,0.450847,0.446962,0.001,2.22,False,1,PEP,100
3,0.395996,0.445208,0.445208,0.001,2.17,True,0,PEP,100
4,0.396356,0.441323,0.441323,0.001,2.22,True,0,PEP,100
5,0.395776,0.44653,0.441323,0.001,2.11,False,1,PEP,100
6,0.395604,0.444849,0.441323,0.001,2.26,False,2,PEP,100
7,0.394746,0.442437,0.441323,0.001,2.15,False,3,PEP,100
8,0.395333,0.441334,0.441323,0.001,2.28,False,4,PEP,100
9,0.395442,0.443811,0.441323,0.001,2.19,False,5,PEP,100
10,0.395374,0.441454,0.441323,0.001,2.12,False,6,PEP,100
11,0.395157,0.44097,0.44097,0.0005,2.08,True,0,PEP,100
12,0.394413,0.441249,0.44097,0.0005,2.17,False,1,PEP,100
13,0.394255,0.441813,0.44097,0.0005,2.11,False,2,PEP,100
14,0.393788,0.441133,0.44097,0.0005,2.29,False,3,PEP,100
15,0.394324,0.441188,0.44097,0.0005,2.26,False,4,PEP,100
16,0.394456,0.44202,0.44097,0.0005,2.24,False,5,PEP,100
17,0.394358,0.441707,0.44097,0.0005,2.13,False,6,PEP,100
18,0.393823,0.441509,0.44097,0.00025,2.14,False,7,PEP,100
