epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.012923,0.005898,0.005898,0.001,4.14,True,0,TSLA,42
2,0.00363,0.002154,0.002154,0.001,4.8,True,0,TSLA,42
3,0.003092,0.002449,0.002154,0.001,4.21,False,1,TSLA,42
4,0.002527,0.010301,0.002154,0.001,3.91,False,2,TSLA,42
5,0.00237,0.008069,0.002154,0.001,4.05,False,3,TSLA,42
6,0.002411,0.003194,0.002154,0.001,4.52,False,4,TSLA,42
7,0.001825,0.004083,0.002154,0.001,3.83,False,5,TSLA,42
8,0.00186,0.004512,0.002154,0.001,3.85,False,6,TSLA,42
9,0.001428,0.004126,0.002154,0.0005,3.89,False,7,TSLA,42
10,0.001285,0.003706,0.002154,0.0005,3.93,False,8,TSLA,42
11,0.001243,0.002805,0.002154,0.0005,4.36,False,9,TSLA,42
12,0.001177,0.003175,0.002154,0.0005,3.93,False,10,TSLA,42
13,0.001056,0.004772,0.002154,0.0005,3.92,False,11,TSLA,42
14,0.00091,0.004515,0.002154,0.0005,4.22,False,12,TSLA,42
15,0.000912,0.003937,0.002154,0.00025,3.86,False,13,TSLA,42
16,0.00098,0.003509,0.002154,0.00025,4.13,False,14,TSLA,42
17,0.000799,0.003396,0.002154,0.00025,4.11,False,15,TSLA,42
