epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.009429,0.001105,0.001105,0.001,1.27,True,0,TSLA,42
2,0.002518,0.001773,0.001105,0.001,1.27,False,1,TSLA,42
3,0.001948,0.004044,0.001105,0.001,1.47,False,2,TSLA,42
4,0.001588,0.001749,0.001105,0.001,1.36,False,3,TSLA,42
5,0.001501,0.0028,0.001105,0.001,1.45,False,4,TSLA,42
6,0.001319,0.001511,0.001105,0.001,1.47,False,5,TSLA,42
7,0.001282,0.001836,0.001105,0.001,1.25,False,6,TSLA,42
8,0.00105,0.002157,0.001105,0.0005,1.28,False,7,TSLA,42
9,0.001083,0.00045,0.00045,0.0005,1.24,True,0,TSLA,42
10,0.001051,0.001364,0.00045,0.0005,1.25,False,1,TSLA,42
11,0.001023,0.000599,0.00045,0.0005,1.26,False,2,TSLA,42
12,0.001048,0.002891,0.00045,0.0005,1.25,False,3,TSLA,42
13,0.001043,0.001763,0.00045,0.0005,1.24,False,4,TSLA,42
14,0.000997,0.003249,0.00045,0.0005,1.28,False,5,TSLA,42
15,0.001041,0.001936,0.00045,0.0005,1.27,False,6,TSLA,42
16,0.000824,0.000666,0.00045,0.00025,1.26,False,7,TSLA,42
17,0.000895,0.001086,0.00045,0.00025,1.35,False,8,TSLA,42
18,0.000879,0.003564,0.00045,0.00025,1.25,False,9,TSLA,42
19,0.000906,0.001796,0.00045,0.00025,1.25,False,10,TSLA,42
20,0.00089,0.003031,0.00045,0.00025,1.32,False,11,TSLA,42
21,0.000803,0.002305,0.00045,0.00025,1.25,False,12,TSLA,42
22,0.000793,0.001079,0.00045,0.000125,1.26,False,13,TSLA,42
23,0.000802,0.001869,0.00045,0.000125,1.29,False,14,TSLA,42
24,0.000834,0.001635,0.00045,0.000125,1.23,False,15,TSLA,42
