epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.028425,0.008889,0.008889,0.001,2.37,True,0,TSLA,100
2,0.004214,0.002477,0.002477,0.001,2.32,True,0,TSLA,100
3,0.003093,0.004074,0.002477,0.001,2.59,False,1,TSLA,100
4,0.002633,0.002888,0.002477,0.001,2.29,False,2,TSLA,100
5,0.00199,0.001825,0.001825,0.001,2.58,True,0,TSLA,100
6,0.001721,0.002638,0.001825,0.001,2.27,False,1,TSLA,100
7,0.001494,0.002455,0.001825,0.001,2.42,False,2,TSLA,100
8,0.001491,0.001195,0.001195,0.001,2.4,True,0,TSLA,100
9,0.00136,0.002507,0.001195,0.001,2.6,False,1,TSLA,100
10,0.00143,0.001034,0.001034,0.001,2.5,True,0,TSLA,100
11,0.001213,0.002581,0.001034,0.001,2.26,False,1,TSLA,100
12,0.001224,0.003002,0.001034,0.001,2.34,False,2,TSLA,100
13,0.001433,0.002048,0.001034,0.001,2.2,False,3,TSLA,100
14,0.00141,0.002118,0.001034,0.001,2.43,False,4,TSLA,100
15,0.001152,0.001131,0.001034,0.001,2.33,False,5,TSLA,100
16,0.00112,0.0013,0.001034,0.001,2.24,False,6,TSLA,100
17,0.001086,0.001449,0.001034,0.0005,2.36,False,7,TSLA,100
18,0.001052,0.00176,0.001034,0.0005,2.14,False,8,TSLA,100
19,0.000998,0.001213,0.001034,0.0005,2.23,False,9,TSLA,100
20,0.000958,0.001752,0.001034,0.0005,2.37,False,10,TSLA,100
21,0.000962,0.001278,0.001034,0.0005,2.28,False,11,TSLA,100
22,0.001014,0.001857,0.001034,0.0005,2.05,False,12,TSLA,100
23,0.000941,0.001428,0.001034,0.00025,2.25,False,13,TSLA,100
24,0.00094,0.001312,0.001034,0.00025,2.1,False,14,TSLA,100
25,0.000921,0.00193,0.001034,0.00025,2.15,False,15,TSLA,100
