epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.00985,0.008063,0.008063,0.001,0.89,True,0,TSLA,100
2,0.002523,0.015085,0.008063,0.001,0.93,False,1,TSLA,100
3,0.003252,0.004252,0.004252,0.001,0.9,True,0,TSLA,100
4,0.001653,0.002925,0.002925,0.001,0.85,True,0,TSLA,100
5,0.001344,0.006005,0.002925,0.001,0.86,False,1,TSLA,100
6,0.001667,0.00556,0.002925,0.001,0.88,False,2,TSLA,100
7,0.001014,0.004002,0.002925,0.001,0.85,False,3,TSLA,100
8,0.001384,0.013835,0.002925,0.001,0.87,False,4,TSLA,100
9,0.001241,0.006676,0.002925,0.001,0.88,False,5,TSLA,100
10,0.001246,0.005794,0.002925,0.001,0.86,False,6,TSLA,100
11,0.000979,0.004668,0.002925,0.0005,0.85,False,7,TSLA,100
12,0.000839,0.006027,0.002925,0.0005,0.87,False,8,TSLA,100
13,0.00086,0.003483,0.002925,0.0005,0.89,False,9,TSLA,100
14,0.00095,0.007094,0.002925,0.0005,0.85,False,10,TSLA,100
15,0.000775,0.006978,0.002925,0.0005,0.87,False,11,TSLA,100
16,0.000929,0.009137,0.002925,0.0005,0.86,False,12,TSLA,100
17,0.000802,0.004344,0.002925,0.00025,0.89,False,13,TSLA,100
18,0.000629,0.006156,0.002925,0.00025,0.91,False,14,TSLA,100
19,0.000642,0.005725,0.002925,0.00025,0.88,False,15,TSLA,100
