epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.381764,0.241486,0.241486,0.001,1.25,True,0,TSLA,42
2,0.378283,0.23985,0.23985,0.001,1.2,True,0,TSLA,42
3,0.378438,0.239656,0.239656,0.001,1.2,True,0,TSLA,42
4,0.378286,0.240148,0.239656,0.001,1.26,False,1,TSLA,42
5,0.378345,0.23931,0.23931,0.001,1.2,True,0,TSLA,42
6,0.377878,0.240056,0.23931,0.001,1.31,False,1,TSLA,42
7,0.377883,0.239338,0.23931,0.001,1.36,False,2,TSLA,42
8,0.377626,0.239262,0.239262,0.001,1.16,True,0,TSLA,42
9,0.377718,0.239527,0.239262,0.001,1.26,False,1,TSLA,42
10,0.377763,0.239929,0.239262,0.001,1.17,False,2,TSLA,42
11,0.377811,0.239885,0.239262,0.001,1.18,False,3,TSLA,42
12,0.377825,0.240393,0.239262,0.001,1.27,False,4,TSLA,42
13,0.37755,0.23951,0.239262,0.001,1.17,False,5,TSLA,42
14,0.377725,0.23973,0.239262,0.001,1.2,False,6,TSLA,42
15,0.377275,0.239573,0.239262,0.0005,1.26,False,7,TSLA,42
