epoch,train_loss,val_loss,lr,time_sec,is_best,patience
1,0.033975,0.003503,0.001,0.24,True,0
2,0.002423,0.002557,0.001,0.21,True,0
3,0.001815,0.002644,0.001,0.17,False,1
4,0.001747,0.002931,0.001,0.17,False,2
5,0.001693,0.002388,0.001,0.2,True,0
6,0.001639,0.00244,0.001,0.29,False,1
7,0.001596,0.002738,0.001,0.17,False,2
8,0.001616,0.002582,0.001,0.17,False,3
9,0.00158,0.00245,0.001,0.19,False,4
10,0.001611,0.003209,0.001,0.2,False,5
11,0.001559,0.00319,0.001,0.19,False,6
12,0.001553,0.00385,0.0005,0.17,False,7
13,0.001559,0.003709,0.0005,0.19,False,8
14,0.001556,0.003543,0.0005,0.16,False,9
15,0.001542,0.003561,0.0005,0.19,False,10
16,0.00154,0.003283,0.0005,0.23,False,11
17,0.00152,0.002923,0.0005,0.21,False,12
18,0.001516,0.003442,0.00025,0.22,False,13
19,0.001513,0.003169,0.00025,0.22,False,14
20,0.00151,0.003222,0.00025,0.19,False,15
