epoch,train_loss,val_loss,lr,time_sec,is_best,patience
1,0.053088,0.024696,0.001,0.64,True,0
2,0.002056,0.000793,0.001,0.61,True,0
3,0.000523,0.000389,0.001,0.58,True,0
4,0.000381,0.000395,0.001,0.6,False,1
5,0.000332,0.000881,0.001,0.6,False,2
6,0.000314,0.000726,0.001,0.6,False,3
7,0.000314,0.000667,0.001,0.62,False,4
8,0.000298,0.000642,0.001,0.64,False,5
9,0.000296,0.000663,0.001,0.58,False,6
10,0.000288,0.001101,0.0005,0.65,False,7
11,0.00029,0.000683,0.0005,0.6,False,8
12,0.000279,0.000823,0.0005,0.6,False,9
13,0.000276,0.00046,0.0005,0.59,False,10
14,0.000275,0.000868,0.0005,0.62,False,11
15,0.000274,0.000688,0.0005,0.62,False,12
16,0.000272,0.000559,0.00025,0.59,False,13
17,0.000271,0.00056,0.00025,0.6,False,14
18,0.000275,0.000758,0.00025,0.59,False,15
